image,count,value
006.jpeg,23,3 euros 32 centimes
007.jpeg,23,3 euros 32 centimes
008.jpeg,14,1 euro 66 centimes
009.jpeg,14,1 euro 66 centimes
010.jpeg,10,1 euro 19 centimes
011.jpeg,5,65 centimes
012.jpeg,5,54 centimes
013.jpeg,4,47 centimes
014.jpeg,14,1 euro 66 centimes
015.jpeg,9,1 euros 50 centimes
0e01c.jpg,1,1 centime
0e10c.jpg,1,10 centimes
0e20c.jpg,1,20 centimes
0e2c.jpg,1,2 centimes
0e50c.jpg,1,50 centimes
10.jpg,9,4 euros 62 centimes
1e33c.jpg,12,1 euro 33 centimes
1e83c.jpg,13,1 euro 83 centimes
1.jpg,4,2 euros 72 centimes
2e01c.jpg,2,2 euros 1 centimes
2e52c.jpg,8,2 euros 52 centimes
2e.jpg,1,2 euros
2.jpg,2,70 centimes
3e07c.jpg,22,3 euros 7 centimes
3e22c.jpg,10,3 euros 22 centimes
3e33c.jpg,13,3 euros 33 centimes
3e58c.jpg,15,3 euros 58 centimes
3e87c.jpg,20,3 euros 87 centimes
3.jpg,1,2 euros
4.jpg,5,3 euros 72 centimes
5e07.jpg,23,5 euros 7 centimes
5.jpg,4,3 euros 52 centimes
6.jpg,2,40 centimes
7.jpg,3,3 euros 10 centimes
8.jpg,3,3 euros 10 centimes
9.jpg,4,3 euros 70 centimes
IMG_1642.JPG,8,4 euros 87 centimes
IMG_1643.JPG,4,2 euros 75 centimes
IMG_1644.JPG,5,3 euros 75 centimes
IMG_1645.JPG,6,4 euros 75 centimes
IMG_1647.JPG,6,4 euros 75 centimes
IMG_1648.JPG,7,3 euros 87 centimes
IMG_1649.JPG,8,4 euros 87 centimes
IMG_1650.JPG,8,4 euros 87 centimes
IMG_1651.JPG,3,3 euros 10 centimes
IMG_1652.JPG,4,2 euros 60 centimes
IMG_20240206_213036.jpg,14,3 euros 41 centimes
IMG_20240206_213214.jpg,4,3 euros 20 centimes
IMG_20240206_213231.jpg,4,3 euros 20 centimes
IMG_20240206_213239.jpg,6,3 euros 32 centimes
IMG_20240206_213252.jpg,6,3 euros 32 centimes
IMG_5950(1).jpg,1,10 centimes
IMG_5950.jpg,1,10 centimes
IMG_5951(1).jpg,1,1 euro
IMG_5951.jpg,1,1 euro
IMG_5952(1).jpg,2,1 euro 10 centimes
IMG_5952.jpg,2,1 euro 10 centimes
IMG_5953(1).jpg,3,1 euro 12 centimes
IMG_5953.jpg,3,1 euro 12 centimes
IMG_5954(1).jpg,1,2 centimes
IMG_5954.jpg,1,2 centimes
IMG_5955(1).jpg,1,2 euros
IMG_5955.jpg,1,2 euros
IMG_5956(1).jpg,1,2 euros
IMG_5956.jpg,1,2 euros
IMG_5957(1).jpg,1,20 centimes
IMG_5957.jpg,1,20 centimes
IMG_5958(1).jpg,1,20 centimes
IMG_5958.jpg,1,20 centimes
IMG_5960(1).jpg,1,5 centimes
IMG_5960.jpg,1,5 centimes
ImgPiece10.jpeg,26,3 euros 80 centimes
ImgPiece1.jpeg,6,3 euros 58
ImgPiece2.jpeg,3,3 euros
ImgPiece3.jpeg,7,61 centimes
ImgPiece4.jpeg,6,20 centimes
ImgPiece5.jpeg,13,3 euros 63
ImgPiece6.jpeg,20,1 euros 83
ImgPiece7.jpeg,25,63 centimes
ImgPiece8.jpeg,29,3 euros 
ImgPiece9.jpeg,30,5 euros 98
PXL_20240206_141437681.jpg,1,2 euros
PXL_20240206_141449752.jpg,1,1 euro
PXL_20240206_141459000.jpg,1,50 centimes
PXL_20240206_141506457.jpg,1,20 centimes
PXL_20240206_141510870.jpg,1,20 centimes
PXL_20240206_141516074.jpg,1,10 centimes
PXL_20240206_141524308.jpg,1,1 euro
PXL_20240206_141535905.jpg,3,3 euros 20 centimes
PXL_20240206_141545421.jpg,6,4 euros 80 centimes
PXL_20240206_231416015.jpg,4,35 centimes
PXL_20240206_231649824.jpg,4,1 euro 20 centimes